ID_Cliente,Motivo,Education,Cidade,Renda_anual,Aulas,NPS,Num_Aulas,Ano_de_nascimento,Banheiros_na_casa,Quartos_na_casa,Idade,Categoria_Renda,Faixa_Etaria
25,Trabalho,Graduação,São Bernardo,18589.0,Espanhol,2,21,1995,1.0,1.0,30,Baixa,Adulto
26,Viagem,Graduação,São Paulo,53359.0,Inglês,2,5,2002,3.0,4.0,23,Média,Jovem
27,Estudos,Graduação,São Paulo,52247.25135379061,Inglês,3,10,2012,3.0,1.0,13,Média,Jovem
28,Estudos,Graduação,São Paulo,38360.0,Espanhol,4,5,2015,2.0,2.0,10,Média,Jovem
30,Viagem,Mestrado,São Paulo,10979.0,Espanhol,4,7,2015,1.0,1.0,10,Baixa,Jovem
31,Trabalho,Mestrado,São Paulo,38620.0,Espanhol e Inglês,2,36,1989,2.0,2.0,36,Média,Adulto
32,Estudos,Graduação,São Paulo,40548.0,Espanhol,1,10,1996,1.0,3.0,29,Média,Adulto
33,Estudos,Doutorado,Campinas,46610.0,Inglês,2,2,1978,4.0,3.0,47,Média,Sênior
34,Trabalho,Mestrado,Taubaté,68657.0,Espanhol,2,7,1972,5.0,5.0,53,Alta,Sênior
36,Trabalho,Doutorado,São Paulo,67353.0,Inglês,2,21,1996,4.0,5.0,29,Alta,Adulto
37,Estudos,Ensino Médio,São Paulo,23718.0,Inglês,1,8,2002,1.0,1.0,23,Baixa,Jovem
38,Estudos,Graduação,São Paulo,42429.0,Espanhol,2,2,1999,2.0,3.0,26,Média,Adulto
40,Estudos,Graduação,São Paulo,80011.0,Espanhol,1,10,2006,5.0,6.0,19,Alta,Jovem
41,Trabalho,Mestrado,São Paulo,20559.0,Espanhol,1,5,2011,1.0,1.0,14,Baixa,Jovem
42,Trabalho,Graduação,São Paulo,21994.0,Espanhol,2,12,1983,1.0,1.0,42,Baixa,Sênior
43,Trabalho,Doutorado,Campinas,52247.25135379061,Inglês,1,24,1985,3.0,1.0,40,Média,Adulto
44,Viagem,Mestrado,São Paulo,23046.0,Espanhol,4,5,2001,1.0,1.0,24,Baixa,Jovem
45,Trabalho,Graduação,São Paulo,79941.0,Inglês,5,1,2002,5.0,6.0,23,Alta,Jovem
46,Estudos,Ensino Médio,São Paulo,7500.0,Espanhol,2,18,2022,1.0,1.0,3,Baixa,Jovem
47,Viagem,Graduação,São Paulo,41728.0,Espanhol,2,6,1994,2.0,3.0,31,Média,Adulto
48,Trabalho,Graduação,São Paulo,52247.25135379061,Espanhol e Inglês,3,12,1977,3.0,1.0,48,Média,Sênior
49,Viagem,Doutorado,São Paulo,72550.0,Inglês,3,25,1980,5.0,5.0,45,Alta,Sênior
50,Estudos,Graduação,Taubaté,65486.0,Inglês,4,33,1983,5.0,5.0,42,Alta,Sênior
51,Trabalho,Mestrado,São Bernardo,79143.0,Espanhol,3,8,1990,5.0,6.0,35,Alta,Adulto
52,Trabalho,Graduação,Campinas,35790.0,Espanhol,2,14,2003,3.0,2.0,22,Média,Jovem
53,Estudos,Graduação,Campinas,82582.0,Espanhol,5,4,2003,5.0,6.0,22,Alta,Jovem
54,Estudos,Graduação,São Paulo,66373.0,Inglês,2,1,2004,4.0,5.0,21,Alta,Jovem
55,Trabalho,Mestrado,Campinas,79146.0,Inglês,5,26,1981,5.0,6.0,44,Alta,Sênior
56,Viagem,Graduação,São Paulo,70287.0,Inglês,4,38,1992,3.0,5.0,33,Alta,Adulto
57,Trabalho,Graduação,São Paulo,27938.0,Espanhol,5,11,2014,1.0,1.0,11,Baixa,Jovem
58,Estudos,Graduação,São Paulo,52247.25135379061,Inglês,1,2,2008,3.0,1.0,17,Média,Jovem
59,Viagem,Doutorado,São Paulo,55954.0,Inglês,3,45,1994,3.0,4.0,31,Alta,Adulto
60,Viagem,Mestrado,São Paulo,75777.0,Espanhol e Inglês,4,40,2008,5.0,6.0,17,Alta,Jovem
61,Viagem,Graduação,São Paulo,66653.0,Espanhol,2,17,2001,4.0,5.0,24,Alta,Jovem
62,Trabalho,Graduação,São Bernardo,61823.0,Inglês,5,26,1978,4.0,4.0,47,Alta,Sênior
63,Viagem,Doutorado,São Paulo,67680.0,Inglês,3,9,1977,4.0,5.0,48,Alta,Sênior
64,Estudos,Graduação,São Paulo,70666.0,Inglês,3,19,1974,4.0,5.0,51,Alta,Sênior
65,Trabalho,Graduação,São Paulo,25721.0,Espanhol,2,2,1997,1.0,1.0,28,Baixa,Adulto
66,Trabalho,Graduação,São Paulo,32474.0,Inglês,2,28,1993,2.0,2.0,32,Baixa,Adulto
68,Estudos,Graduação,São Paulo,69096.0,Espanhol,2,11,1984,3.0,5.0,41,Alta,Sênior
69,Estudos,Graduação,Rio Branco,74854.0,Inglês,1,28,1996,5.0,6.0,29,Alta,Adulto
71,Estudos,Ensino Médio,São Paulo,52247.25135379061,Inglês,2,6,1999,3.0,1.0,26,Média,Adulto
72,Viagem,Graduação,São Paulo,65031.0,Inglês,5,23,1985,3.0,5.0,40,Alta,Adulto
73,Trabalho,Doutorado,São Bernardo,60631.0,Inglês,3,1,2001,4.0,4.0,24,Alta,Jovem
74,Estudos,Graduação,São Bernardo,28332.0,Espanhol e Inglês,3,23,1978,1.0,1.0,47,Baixa,Sênior
75,Estudos,Graduação,São Bernardo,40246.0,Espanhol,2,11,2003,2.0,2.0,22,Média,Jovem
76,Trabalho,Mestrado,São Bernardo,75251.0,Espanhol,1,14,1998,5.0,6.0,27,Alta,Adulto
77,Estudos,Graduação,São Paulo,75825.0,Inglês,3,18,2002,4.0,6.0,23,Alta,Jovem
78,Viagem,Ensino Médio,São Paulo,26326.0,Inglês,2,6,2002,1.0,1.0,23,Baixa,Jovem
79,Trabalho,Graduação,São Paulo,56046.0,Espanhol,3,4,1991,3.0,4.0,34,Alta,Adulto
80,Viagem,Graduação,Campinas,29760.0,Espanhol,2,3,2011,1.0,1.0,14,Baixa,Jovem
81,Estudos,Graduação,São Paulo,26304.0,Espanhol,1,13,1995,1.0,1.0,30,Baixa,Adulto
82,Viagem,Ensino Médio,São Paulo,23559.0,Espanhol,2,11,1999,1.0,1.0,26,Baixa,Adulto
83,Trabalho,Mestrado,São Paulo,38620.0,Espanhol,4,11,1989,1.0,2.0,36,Média,Adulto
84,Trabalho,Graduação,São Paulo,81361.0,Inglês,2,9,2013,5.0,6.0,12,Alta,Jovem
85,Estudos,Graduação,São Paulo,29440.0,Espanhol,1,12,1986,1.0,1.0,39,Baixa,Adulto
86,Outros,Mestrado,São Bernardo,36138.0,Espanhol,1,7,1996,2.0,2.0,29,Média,Adulto
87,Trabalho,Graduação,São Paulo,50388.0,Espanhol,2,11,1983,3.0,3.0,42,Média,Sênior
88,Outros,Graduação,Campinas,79593.0,Espanhol,5,11,1999,5.0,6.0,26,Alta,Adulto
89,Trabalho,Graduação,São Paulo,54178.0,Inglês,2,39,1993,3.0,4.0,32,Média,Adulto
91,Estudos,Graduação,São Bernardo,52247.25135379061,Inglês,2,36,1983,3.0,1.0,42,Média,Sênior
92,Trabalho,Mestrado,São Bernardo,52247.25135379061,Inglês,4,29,1999,3.0,1.0,26,Média,Adulto
93,Trabalho,Mestrado,São Paulo,42394.0,Espanhol,1,6,1998,2.0,3.0,27,Média,Adulto
94,Trabalho,Doutorado,São Bernardo,23626.0,Inglês,3,4,1996,1.0,1.0,29,Baixa,Adulto
95,Viagem,Graduação,São Paulo,31163.0,Espanhol,3,19,2009,1.0,2.0,16,Baixa,Jovem
96,Viagem,Graduação,São Paulo,47916.0,Espanhol,3,12,1986,3.0,3.0,39,Média,Adulto
97,Viagem,Graduação,São Paulo,51813.0,Inglês,1,15,1998,3.0,4.0,27,Média,Adulto
98,Estudos,Ensino Médio,São Paulo,78497.0,Espanhol,1,4,1977,4.0,6.0,48,Alta,Sênior
99,Trabalho,Doutorado,São Paulo,50150.0,Inglês,5,38,2009,3.0,3.0,16,Média,Jovem
100,Estudos,Ensino Médio,São Paulo,47823.0,Espanhol,3,13,1986,2.0,3.0,39,Média,Adulto
105,Estudos,Ensino Fundamental,São Paulo,24594.0,Espanhol,3,14,2005,1.0,1.0,20,Baixa,Jovem
106,Trabalho,Graduação,São Paulo,49096.0,Espanhol,3,16,1990,3.0,3.0,35,Média,Adulto
107,Trabalho,Graduação,São Bernardo,52413.0,Espanhol,2,6,1995,3.0,4.0,30,Média,Adulto
108,Estudos,Graduação,São Paulo,38557.0,Espanhol e Inglês,5,10,2004,2.0,2.0,21,Média,Jovem
110,Trabalho,Graduação,São Paulo,77298.0,Inglês,5,22,2005,5.0,6.0,20,Alta,Jovem
111,Estudos,Doutorado,São Paulo,68126.0,Inglês,2,55,2017,4.0,5.0,8,Alta,Jovem
112,Trabalho,Mestrado,Campinas,57288.0,Espanhol,1,15,1989,4.0,4.0,36,Alta,Adulto
114,Trabalho,Doutorado,São Paulo,43974.0,Inglês,4,23,2006,2.0,3.0,19,Média,Jovem
115,Estudos,Graduação,Campinas,50785.0,Espanhol,4,12,1988,3.0,3.0,37,Média,Adulto
117,Estudos,Ensino Médio,São Paulo,36550.0,Espanhol,2,14,2004,2.0,2.0,21,Média,Jovem
118,Viagem,Ensino Médio,Campinas,30753.0,Espanhol,1,19,1993,1.0,2.0,32,Baixa,Adulto
119,Trabalho,Graduação,São Paulo,21918.0,Espanhol,1,9,1995,1.0,1.0,30,Baixa,Adulto
120,Trabalho,Mestrado,São Bernardo,56129.0,Espanhol e Inglês,2,46,1979,3.0,4.0,46,Alta,Sênior
121,Trabalho,Mestrado,Campinas,35778.0,Espanhol,3,6,1993,2.0,2.0,32,Média,Adulto
122,Trabalho,Mestrado,São Paulo,19510.0,Espanhol,3,6,2011,1.0,1.0,14,Baixa,Jovem
123,Viagem,Graduação,São Paulo,30992.0,Espanhol,1,6,2002,1.0,2.0,23,Baixa,Jovem
124,Trabalho,Graduação,São Paulo,79146.0,Inglês,4,22,2009,5.0,6.0,16,Alta,Jovem
125,Estudos,Ensino Médio,São Paulo,71488.0,Inglês,2,18,1991,4.0,5.0,34,Alta,Adulto
126,Viagem,Graduação,São Bernardo,79607.0,Inglês,2,31,2010,5.0,6.0,15,Alta,Jovem
127,Trabalho,Mestrado,Campinas,54348.0,Inglês,3,34,1979,3.0,4.0,46,Média,Sênior
128,Trabalho,Doutorado,São Paulo,52247.25135379061,Inglês,3,8,1987,3.0,1.0,38,Média,Adulto
130,Viagem,Graduação,São Paulo,62998.0,Inglês,3,1,1978,4.0,5.0,47,Alta,Sênior
131,Outros,Mestrado,São Paulo,61331.0,Inglês,1,1,1984,4.0,4.0,41,Alta,Sênior
132,Estudos,Graduação,São Paulo,72570.0,Inglês,4,28,1995,5.0,5.0,30,Alta,Adulto
133,Trabalho,Graduação,São Paulo,52247.25135379061,Inglês,2,3,1989,3.0,1.0,36,Média,Adulto
134,Trabalho,Doutorado,Campinas,41551.0,Inglês,2,1,1990,3.0,3.0,35,Média,Adulto
135,Trabalho,Doutorado,São Paulo,62981.0,Inglês,4,26,1993,4.0,4.0,32,Alta,Adulto
136,Estudos,Ensino Fundamental,São Paulo,23046.0,Espanhol,2,10,2002,1.0,1.0,23,Baixa,Jovem
137,Estudos,Doutorado,São Bernardo,33762.0,Mandarim,1,88,1985,2.0,2.0,40,Baixa,Adulto
138,Viagem,Doutorado,São Paulo,35860.0,Inglês,5,57,1999,2.0,2.0,26,Média,Adulto
139,Trabalho,Doutorado,Taubaté,36921.0,Inglês,4,20,1991,3.0,2.0,34,Média,Adulto
141,Trabalho,Mestrado,São Paulo,65104.0,Inglês,4,33,2002,4.0,5.0,23,Alta,Jovem
143,Trabalho,Doutorado,São Paulo,68352.0,Inglês,3,19,2000,4.0,5.0,25,Alta,Jovem
144,Estudos,Graduação,São Paulo,42476.0,Espanhol,1,12,2014,2.0,3.0,11,Média,Jovem
145,Estudos,Graduação,São Paulo,59809.0,Inglês,1,34,2002,3.0,4.0,23,Alta,Jovem
146,Trabalho,Graduação,São Paulo,23046.0,Espanhol e Inglês,3,23,2001,1.0,1.0,24,Baixa,Jovem
147,Estudos,Graduação,São Paulo,38547.0,Espanhol,3,11,2007,2.0,2.0,18,Média,Jovem
148,Estudos,Ensino Médio,São Paulo,31163.0,Espanhol,1,14,1999,1.0,2.0,26,Baixa,Adulto
149,Trabalho,Mestrado,São Paulo,49605.0,Espanhol,3,10,1992,3.0,3.0,33,Média,Adulto
150,Trabalho,Mestrado,Campinas,59354.0,Inglês,3,16,1979,5.0,4.0,46,Alta,Sênior
151,Trabalho,Graduação,São Paulo,65747.0,Espanhol,2,17,1995,4.0,5.0,30,Alta,Adulto
152,Estudos,Ensino Médio,São Paulo,48168.0,Espanhol,4,9,1998,3.0,3.0,27,Média,Adulto
153,Trabalho,Graduação,São Paulo,34176.0,Espanhol,1,24,2014,2.0,2.0,11,Baixa,Jovem
154,Trabalho,Doutorado,Rio Branco,61010.0,Inglês,2,24,1978,5.0,4.0,47,Alta,Sênior
155,Estudos,Graduação,São Paulo,69372.0,Inglês,2,25,1975,4.0,5.0,50,Alta,Sênior
156,Trabalho,Graduação,São Paulo,49967.0,Inglês,4,10,1984,3.0,3.0,41,Média,Sênior
157,Trabalho,Graduação,São Bernardo,60199.0,Inglês,3,35,2004,4.0,4.0,21,Alta,Jovem
158,Viagem,Graduação,São Paulo,55375.0,Espanhol,2,13,2003,3.0,4.0,22,Alta,Jovem
159,Estudos,Graduação,São Bernardo,79146.0,Inglês,1,17,1981,5.0,6.0,44,Alta,Sênior
160,Trabalho,Mestrado,São Paulo,30523.0,Espanhol,1,6,1984,1.0,2.0,41,Baixa,Sênior
161,Estudos,Doutorado,São Paulo,70356.0,Inglês,2,9,1971,4.0,5.0,54,Alta,Sênior
162,Trabalho,Graduação,São Paulo,23228.0,Espanhol,4,5,2010,1.0,1.0,15,Baixa,Jovem
163,Trabalho,Doutorado,São Paulo,74165.0,Inglês,4,28,2001,5.0,5.0,24,Alta,Jovem
165,Estudos,Graduação,São Bernardo,43482.0,Espanhol,4,12,1992,2.0,3.0,33,Média,Adulto
166,Estudos,Graduação,São Paulo,62551.0,Espanhol,2,9,1979,4.0,4.0,46,Alta,Sênior
167,Viagem,Graduação,São Paulo,52332.0,Inglês,1,7,1985,3.0,4.0,40,Média,Adulto
168,Estudos,Graduação,São Paulo,66951.0,Espanhol,3,14,2014,3.0,5.0,11,Alta,Jovem
169,Viagem,Graduação,São Paulo,26091.0,Espanhol,4,12,1983,1.0,1.0,42,Baixa,Sênior
170,Estudos,Graduação,São Paulo,33456.0,Espanhol,3,10,1991,2.0,2.0,34,Baixa,Adulto
171,Viagem,Graduação,São Paulo,28718.0,Espanhol,2,6,2008,1.0,1.0,17,Baixa,Jovem
172,Trabalho,Graduação,São Paulo,50447.0,Espanhol,1,2,1996,3.0,3.0,29,Média,Adulto
173,Viagem,Doutorado,São Paulo,53537.0,Inglês,4,20,1985,3.0,4.0,40,Média,Adulto
174,Estudos,Graduação,São Paulo,55085.5,Inglês,3,20,1993,3.0,4.0,32,Alta,Adulto
175,Trabalho,Doutorado,São Paulo,80427.0,Inglês,3,36,2001,5.0,6.0,24,Alta,Jovem
176,Trabalho,Doutorado,São Paulo,83837.0,Inglês,3,27,1974,5.0,6.0,51,Alta,Sênior
177,Trabalho,Doutorado,São Paulo,38853.0,Inglês,4,20,1996,2.0,2.0,29,Média,Adulto
178,Trabalho,Graduação,Campinas,38285.0,Inglês,3,32,1985,3.0,2.0,40,Média,Adulto
179,Viagem,Ensino Médio,São Paulo,78497.0,Inglês,4,41,1977,5.0,6.0,48,Alta,Sênior
180,Trabalho,Doutorado,São Paulo,51650.0,Inglês,3,28,2002,3.0,4.0,23,Média,Jovem
181,Estudos,Ensino Médio,São Paulo,23046.0,Espanhol,1,8,2014,1.0,1.0,11,Baixa,Jovem
182,Trabalho,Mestrado,Campinas,66835.0,Mandarim,3,80,1972,5.0,5.0,53,Alta,Sênior
183,Trabalho,Mestrado,Campinas,30477.0,Espanhol,4,14,2010,1.0,2.0,15,Baixa,Jovem
184,Estudos,Ensino Fundamental,São Paulo,28249.0,Espanhol,4,11,1987,1.0,1.0,38,Baixa,Adulto
185,Trabalho,Graduação,São Paulo,23046.0,Espanhol,3,4,2009,1.0,1.0,16,Baixa,Jovem
186,Estudos,Doutorado,São Bernardo,32303.0,Inglês,2,20,1996,2.0,2.0,29,Baixa,Adulto
187,Viagem,Graduação,São Paulo,61286.0,Espanhol e Inglês,4,10,1992,4.0,4.0,33,Alta,Adulto
188,Estudos,Graduação,São Paulo,74068.0,Espanhol,2,11,2002,5.0,5.0,23,Alta,Jovem
189,Estudos,Doutorado,São Paulo,48168.0,Inglês,4,1,1990,3.0,3.0,35,Média,Adulto
190,Viagem,Ensino Fundamental,São Paulo,24882.0,Espanhol,2,12,2004,1.0,1.0,21,Baixa,Jovem
191,Trabalho,Doutorado,Campinas,66973.0,Inglês,4,4,2015,4.0,5.0,10,Alta,Jovem
192,Estudos,Ensino Médio,Campinas,36640.0,Espanhol,3,6,1926,3.0,2.0,99,Média,Sênior
193,Estudos,Graduação,São Paulo,38872.0,Espanhol e Inglês,4,13,2014,2.0,2.0,11,Média,Jovem
194,Estudos,Graduação,São Paulo,51148.0,Espanhol,4,11,1999,3.0,3.0,26,Média,Adulto
195,Viagem,Graduação,São Paulo,31353.0,Espanhol,4,10,2003,1.0,2.0,22,Baixa,Jovem
196,Outros,Mestrado,São Bernardo,69661.0,Inglês,4,15,2006,4.0,5.0,19,Alta,Jovem
197,Trabalho,Graduação,Campinas,80067.0,Inglês,4,11,1980,5.0,6.0,45,Alta,Sênior
199,Estudos,Doutorado,São Bernardo,46854.0,Inglês,4,21,1999,3.0,3.0,26,Média,Adulto
200,Estudos,Graduação,São Paulo,69142.0,Inglês,4,28,1978,4.0,5.0,47,Alta,Sênior
201,Trabalho,Graduação,São Paulo,75922.0,Inglês,3,19,1994,4.0,6.0,31,Alta,Adulto
202,Estudos,Graduação,São Paulo,63693.0,Espanhol e Inglês,4,15,2004,4.0,5.0,21,Alta,Jovem
204,Trabalho,Doutorado,São Paulo,42476.0,Inglês,4,21,1991,2.0,3.0,34,Média,Adulto
205,Trabalho,Mestrado,São Paulo,18890.0,Espanhol,3,4,2010,1.0,1.0,15,Baixa,Jovem
206,Estudos,Graduação,São Paulo,29604.0,Espanhol,3,12,2014,1.0,1.0,11,Baixa,Jovem
207,Outros,Mestrado,São Paulo,48721.0,Espanhol,1,13,1989,3.0,3.0,36,Média,Adulto
208,Outros,Graduação,São Paulo,44794.0,Espanhol,1,15,1992,2.0,3.0,33,Média,Adulto
209,Viagem,Graduação,São Paulo,67786.5,Inglês,4,1,1980,4.0,5.0,45,Alta,Sênior
210,Estudos,Graduação,São Paulo,46097.0,Espanhol e Inglês,1,26,1982,3.0,3.0,43,Média,Sênior
211,Estudos,Graduação,São Paulo,77972.0,Inglês,4,6,1980,5.0,6.0,45,Alta,Sênior
212,Trabalho,Doutorado,São Paulo,42476.0,Inglês,2,18,1994,2.0,3.0,31,Média,Adulto
213,Outros,Mestrado,São Paulo,46014.0,Espanhol,4,15,2000,3.0,3.0,25,Média,Jovem
214,Trabalho,Graduação,São Bernardo,70951.0,Inglês,3,2,2011,4.0,5.0,14,Alta,Jovem
215,Estudos,Graduação,São Paulo,41443.0,Espanhol,3,3,2003,2.0,3.0,22,Média,Jovem
216,Estudos,Ensino Médio,São Paulo,55085.5,Inglês,4,29,2004,3.0,4.0,21,Alta,Jovem
217,Viagem,Mestrado,São Bernardo,83790.0,Inglês,2,43,1974,5.0,6.0,51,Alta,Sênior
218,Trabalho,Mestrado,São Paulo,44551.0,Espanhol,1,5,1980,3.0,3.0,45,Média,Sênior
219,Trabalho,Graduação,São Bernardo,69508.0,Espanhol,1,13,2006,4.0,5.0,19,Alta,Jovem
220,Estudos,Ensino Médio,São Paulo,45204.0,Espanhol,3,13,2014,3.0,3.0,11,Média,Jovem
221,Viagem,Graduação,São Paulo,72570.0,Inglês,4,38,1995,5.0,5.0,30,Alta,Adulto
222,Estudos,Doutorado,São Paulo,77622.0,Espanhol e Inglês,4,28,1996,4.0,6.0,29,Alta,Adulto
223,Estudos,Doutorado,São Paulo,30732.0,Inglês,3,17,2006,1.0,2.0,19,Baixa,Jovem
224,Estudos,Graduação,São Paulo,67786.5,Espanhol e Inglês,1,11,1988,4.0,5.0,37,Alta,Adulto
225,Viagem,Graduação,São Paulo,42011.0,Espanhol e Inglês,2,20,2004,2.0,3.0,21,Média,Jovem
226,Trabalho,Graduação,Taubaté,51369.0,Espanhol,1,13,2002,4.0,3.0,23,Média,Jovem
227,Estudos,Graduação,São Paulo,51537.0,Inglês,3,42,1978,3.0,4.0,47,Média,Sênior
228,Estudos,Doutorado,Campinas,79930.0,Inglês,5,22,1998,5.0,6.0,27,Alta,Adulto
229,Estudos,Doutorado,São Paulo,34320.0,Inglês,3,15,2012,2.0,2.0,13,Baixa,Jovem
230,Estudos,Graduação,São Bernardo,35778.0,Espanhol,1,29,1992,2.0,2.0,33,Média,Adulto
231,Estudos,Ensino Médio,São Paulo,81975.0,Espanhol,2,13,1988,5.0,6.0,37,Alta,Adulto
232,Viagem,Graduação,São Paulo,38590.0,Espanhol e Inglês,2,52,1997,2.0,2.0,28,Média,Adulto
233,Estudos,Graduação,São Paulo,15033.0,Espanhol,3,16,1977,1.0,1.0,48,Baixa,Sênior
234,Viagem,Doutorado,São Paulo,60474.0,Inglês,3,11,1991,4.0,4.0,34,Alta,Adulto
235,Estudos,Ensino Médio,São Bernardo,22212.0,Espanhol,3,15,2001,1.0,1.0,24,Baixa,Jovem
236,Outros,Mestrado,São Paulo,23661.0,Espanhol,1,13,2008,1.0,1.0,17,Baixa,Jovem
237,Estudos,Doutorado,São Paulo,79761.0,Mandarim,3,81,1984,4.0,6.0,41,Alta,Sênior
238,Trabalho,Graduação,São Paulo,7500.0,Inglês,3,15,1999,1.0,1.0,26,Baixa,Adulto
239,Viagem,Ensino Médio,São Paulo,60474.0,Inglês,4,14,1919,4.0,4.0,106,Alta,Sênior
240,Trabalho,Graduação,Campinas,73455.0,Inglês,2,23,1994,5.0,5.0,31,Alta,Adulto
241,Viagem,Graduação,Taubaté,64961.0,Inglês,4,22,1984,5.0,5.0,41,Alta,Sênior
242,Estudos,Graduação,Campinas,22804.0,Espanhol,3,8,1997,2.0,1.0,28,Baixa,Adulto
243,Trabalho,Graduação,São Paulo,73687.0,Espanhol,1,14,2016,5.0,5.0,9,Alta,Jovem
244,Estudos,Graduação,São Paulo,61074.0,Espanhol e Inglês,3,46,1984,3.0,4.0,41,Alta,Sênior
245,Estudos,Doutorado,Campinas,31686.0,Inglês,5,20,1990,2.0,2.0,35,Baixa,Adulto
246,Estudos,Graduação,São Paulo,80134.0,Inglês,3,27,1998,5.0,6.0,27,Alta,Adulto
247,Viagem,Graduação,Taubaté,75027.0,Espanhol,2,6,1979,5.0,6.0,46,Alta,Sênior
248,Estudos,Doutorado,Taubaté,67546.0,Inglês,3,38,2014,5.0,5.0,11,Alta,Jovem
249,Trabalho,Mestrado,Campinas,65176.0,Inglês,5,34,1995,4.0,5.0,30,Alta,Adulto
250,Trabalho,Mestrado,São Paulo,31160.0,Espanhol,3,9,2001,1.0,2.0,24,Baixa,Jovem
251,Trabalho,Graduação,São Paulo,29938.0,Espanhol,3,8,2011,1.0,1.0,14,Baixa,Jovem
253,Viagem,Ensino Médio,São Paulo,26490.0,Espanhol,4,10,1984,1.0,1.0,41,Baixa,Sênior
254,Estudos,Graduação,São Paulo,75702.0,Inglês,5,1,1993,5.0,6.0,32,Alta,Adulto
255,Trabalho,Doutorado,São Paulo,30899.0,Inglês,4,1,2000,1.0,2.0,25,Baixa,Jovem
256,Trabalho,Doutorado,Campinas,63342.0,Inglês,1,34,1987,5.0,5.0,38,Alta,Adulto
257,Estudos,Graduação,São Paulo,45989.0,Espanhol,3,22,1990,3.0,3.0,35,Média,Adulto
258,Viagem,Graduação,São Paulo,23046.0,Espanhol,3,1,1990,1.0,1.0,35,Baixa,Adulto
259,Trabalho,Doutorado,São Paulo,40737.0,Mandarim,3,87,1983,1.0,3.0,42,Média,Sênior
260,Estudos,Graduação,São Paulo,15287.0,Espanhol,1,13,2005,1.0,1.0,20,Baixa,Jovem
261,Estudos,Doutorado,Rio Branco,69674.0,Inglês,1,1,1994,5.0,5.0,31,Alta,Adulto
262,Viagem,Mestrado,São Paulo,44159.0,Espanhol,2,2,1996,2.0,3.0,29,Média,Adulto
263,Trabalho,Doutorado,São Paulo,37717.0,Espanhol e Inglês,3,21,2004,2.0,2.0,21,Média,Jovem
264,Outros,Mestrado,Campinas,43776.0,Espanhol,2,8,1978,2.0,3.0,47,Média,Sênior
265,Outros,Mestrado,São Bernardo,38179.0,Espanhol,1,15,1992,2.0,2.0,33,Média,Adulto
266,Trabalho,Graduação,São Paulo,80124.0,Inglês,4,17,1989,5.0,6.0,36,Alta,Adulto
